Model,,,,,,,,,
GridWidth,12,,,,,,,,
GridHeight,16,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,PNG,Z_index
LED 0,0,0,1,68,273,211,839,NH_led01.png,1
LED 1,1,0,1,68,855,116,1237,,1
LED 2,2,0,1,68,1253,116,1635,,1
LED 3,3,0,1,68,1651,116,2033,,1
LED 4,4,0,1,68,2048,475,2206,NH_led02.png,1
LED 5,5,0,1,490,2158,918,2206,,1
LED 6,6,0,1,933,2158,1361,2206,,1
LED 7,7,0,1,1378,2048,1772,2206,NH_led03.png,1
LED 8,8,0,1,1724,1651,1772,2033,,1
LED 9,9,0,1,1724,1253,1772,1635,,1
LED 10,10,0,1,1724,855,1772,1237,,1
LED 12,11,0,1,1375,273,1772,442,NH_led04.png,1
LED 11,12,0,1,1724,458,1772,840,,1
LED 13,13,0,1,936,273,1362,321,,1
LED 14,14,0,1,707,273,921,321,,1
